update_date,province_name_en,city_name_en,cum_confirmed,cum_cured,cum_dead,new_confirmed,new_cured,new_dead,update_time
2020-01-24,Chongqing,Yubei,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Xiushan,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Chongqing,Changshou,3,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Shanxi,Xianyang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Shanxi,Ankang,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Shanxi,Yan_an,1,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Shanxi,Xi_an,2,0,0,,,,2020-01-24 23:35:03.158
2020-01-24,Heilongjiang,Ha_erbin,1,0,0,,,,2020-01-24 16:58:08.245
2020-01-24,Heilongjiang,Daqing,1,0,0,,,,2020-01-24 16:58:08.245
2020-01-24,Heilongjiang,Mudanjiang,1,0,0,,,,2020-01-24 16:58:08.245
2020-01-24,Heilongjiang,Suihua,1,0,1,,,,2020-01-24 16:58:08.245
2020-01-25,Yunnan,Lijiang,2,0,0,1.0,0.0,0.0,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Dali,1,0,0,,,,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Kunming,4,0,0,1.0,0.0,0.0,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Qujing,1,0,0,,,,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Yuxi,1,0,0,,,,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Honghe,1,0,0,,,,2020-01-25 19:12:37.131
2020-01-25,Yunnan,Xishuangbanna,1,0,0,0.0,0.0,0.0,2020-01-25 19:12:37.131
2020-01-25,Neimenggu,Hulunbeier,1,0,0,,,,2020-01-25 22:04:50.153
2020-01-25,Neimenggu,Manzhouli,1,0,0,0.0,0.0,0.0,2020-01-25 22:04:50.153
2020-01-25,Neimenggu,Chifeng,1,0,0,,,,2020-01-25 22:04:50.153
2020-01-25,Neimenggu,Eerduosi,2,0,0,,,,2020-01-25 22:04:50.153
2020-01-25,Neimenggu,锡林郭勒,2,0,0,,,,2020-01-25 22:04:50.153
2020-01-25,Beijing,Fengtaiqu,2,0,0,0.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Non_Residence,11,0,0,1.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Daxing,2,2,0,0.0,1.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Changping,3,0,0,0.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Zhaoyang,6,0,0,1.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Haidian,8,0,0,2.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Shijingshan,1,0,0,0.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Xicheng,4,0,0,0.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,Tongzhou,3,0,0,1.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Beijing,shunyi,1,0,0,0.0,0.0,0.0,2020-01-25 20:15:16.303
2020-01-25,Jilin,Jilin,2,0,0,1.0,0.0,0.0,2020-01-25 11:26:40.984
